handle,contest_count,max_rating,friends_count,problem_count,rating
Sumeet.Varma,46,2515,1657,662,2500
akshay_miterani,72,2052,390,590,2052
kuldeeppatel,37,2030,208,200,2030
tanmay273,90,2006,290,791,2006
Hiren.Vaghela,32,1997,170,604,1997
lord_bendtner,25,2056,112,116,1994
yashkumar18,87,2032,504,739,1991
Learner99,23,1942,123,130,1942
aayushkapadia,35,1941,145,246,1941
tarang1610,74,1928,103,193,1928
Legend_Goku,7,1924,92,27,1924
Rutvik_Kothari,47,1921,170,256,1920
Beerus_Sama,16,1909,65,58,1909
MoHib85,43,2048,345,472,1894
Hardik.decoder,40,1971,122,160,1881
RP_9,58,1968,149,556,1860
samarthkothari,31,1849,89,303,1849
ronakvaghela45,19,1848,90,116,1848
HardikDobariya,48,1962,135,191,1845
kunal_khatri,14,1811,32,155,1811
kunalk,52,1808,129,475,1808
RAMBO_tejasv,59,1961,132,665,1794
a_g2009,33,1783,39,103,1783
Maulik_Patel,52,1776,84,626,1774
aya_cool,34,1854,86,236,1769
PriyamV_181,23,1764,72,83,1764
dhruval161,28,1827,101,146,1763
Sabuwala.Mustafa,23,1798,91,81,1754
AwwwMeraBacha,1,1752,7,4,1752
Sagar_Savaliya,65,1740,170,412,1740
U_Square,60,1989,293,573,1740
uttam36,47,1764,52,210,1738
dhrumil140396,43,1905,64,368,1733
Oreo_85,96,1847,134,469,1706
--UMANG--,18,1700,18,48,1700
shirishJain,34,1690,29,148,1690
akdent,5,1684,4,34,1684
tapanr97,30,1739,51,147,1678
Grind,23,1676,20,93,1676
_Mr_Fab,41,1888,166,613,1671
kishanradia,34,1671,48,462,1671
Alinus,21,1666,24,183,1666
hhvys,65,1836,80,343,1664
suparsh14,28,1662,21,85,1662
Ajudiya_13,65,1750,151,585,1659
bsrkaditya,38,1843,25,247,1651
HMK,31,1761,54,162,1639
hardik,13,1637,33,109,1637
karan_thakkar,63,1863,110,493,1635
amit2112,29,1707,12,131,1632
shreyansh08,55,1752,56,395,1631
umang._.panchal,48,1649,56,388,1626
het,32,1663,32,76,1625
anandpatel9998,51,1805,51,244,1622
shahjay147,19,1625,16,59,1620
ujaval280498,47,1619,35,451,1619
Mihir_Gajera1,45,1612,57,289,1602
Gautam_009,23,1731,39,107,1601
artifexbm,11,1596,36,46,1596
da_201501181,38,1694,80,411,1592
paresh,28,1758,19,136,1581
shahsaurabh0605,30,1623,43,257,1581
--HK--,31,1588,12,109,1575
rpthegreat,22,1619,21,256,1572
prerakd,46,1560,13,128,1560
gbrocks,22,1586,27,213,1555
no_1999,18,1565,10,122,1555
speedster7795,8,1639,6,36,1554
Meet.Sinojia,16,1674,28,153,1551
harshvasoya008,51,1690,58,152,1542
brightcoder,12,1659,27,87,1527
pH7,43,1801,52,232,1527
Kavi.Prajapati,17,1597,10,176,1523
Code.coding,28,1692,47,340,1522
jakshilchavda,3,1535,8,9,1520
Onkar_p,39,1519,18,249,1519
HulkBuster9,54,1603,31,216,1517
deepraiya17,44,1629,52,207,1517
vinitkp,48,1734,47,176,1517
modi18,12,1515,33,90,1515
nisharg_patel,7,1530,18,148,1514
nikhiljn585,16,1582,4,40,1513
Radhey_41,5,1502,4,23,1502
dhaval_lila,51,1549,34,211,1497
yatinpatel,25,1496,35,178,1496
qazwsx4,10,1611,6,50,1490
jack04,59,1668,49,207,1485
Jay_13,39,1571,16,188,1483
vaibhavpatel,2,1481,16,74,1481
JavaKurious,19,1508,29,320,1479
nightcoder_98,36,1645,57,169,1477
Rats004,12,1509,28,116,1474
Siddhraj,13,1554,10,103,1473
Rishab_arora,38,1581,59,500,1472
yashpal3355,1,1471,1,104,1471
abhi.195,15,1468,9,36,1468
niks.guitarist,12,1654,15,87,1468
Brij_Desai,42,1467,37,240,1467
Adit_Shah,29,1599,41,117,1463
milap_shah,12,1485,18,52,1460
himank,83,1986,97,319,1458
shpalasara,12,1543,6,68,1451
kunawat,12,1510,3,27,1449
jaygoswami.2303,8,1512,24,39,1443
maulik_trapasiya,31,1443,10,57,1443
rom_patel,22,1434,21,210,1434
Bazinga112,14,1459,6,23,1430
Meet7202,32,1430,16,140,1430
Taksu,28,1460,17,64,1429
pd_008,19,1491,14,184,1428
sanket_udgirkar,31,1426,48,317,1420
shashank201101193,51,1714,37,183,1420
m_7703,1,1418,0,3,1418
malhar_s,18,1505,6,53,1416
raj0209,1,1410,3,51,1410
punit9462,13,1407,13,39,1406
aaditya_thakkar,14,1429,17,198,1405
sbhatt,1,1403,1,12,1403
harshitbhut14,16,1423,18,221,1402
anshh31,22,1430,5,55,1401
b06,1,1400,1,58,1400
ParthDoshi,11,1416,25,111,1399
codes-m,9,1402,8,79,1396
parth_1,19,1447,5,238,1393
appurva21,2,1444,8,45,1390
MihirLimbachia-TheOne,9,1471,8,35,1387
_rancho,18,1465,14,122,1387
nachiket5197,10,1448,6,23,1386
pd_1710,1,1383,2,4,1383
dhruvil_sutariya,5,1402,23,37,1382
parthp7995,4,1455,8,28,1382
rosnshah,10,1453,18,82,1378
sjmodi1997,3,1429,1,40,1375
nihar.lalcheta,36,1430,11,129,1374
sdhimmar006,4,1446,2,28,1373
sk893,5,1373,4,9,1358
devanSAGA,7,1471,11,57,1357
Himanshu2936,3,1444,7,29,1356
smitit1999,20,1455,22,265,1356
daiict028,5,1451,6,37,1355
da_201501408,20,1413,34,147,1354
HarshGaglani,8,1421,24,152,1352
Beautiful_Mind,16,1394,2,150,1351
Ronakkothari,25,1633,29,89,1344
Abrahm,4,1463,3,13,1342
vishalb_shingala,24,1440,11,72,1341
DHRUV_PATEL,9,1404,16,53,1337
kunu13,14,1411,13,88,1337
anish_goel,7,1457,5,16,1329
ktrlive,6,1513,18,58,1317
Utsav1509,5,1505,9,14,1313
Jaimini-DAIICT,2,1406,7,40,1311
Darshan26,5,1449,4,33,1306
sachin_gohel,3,1393,2,10,1291
DhruvPatel3,4,1451,20,112,1290
code_rishabh,60,1585,34,222,1290
leaner_0919,8,1414,10,48,1288
saumya_doshi,19,1437,33,76,1286
Preet_198,6,1408,8,14,1262
shashwat_1996,16,1449,2,48,1259
aviral1995,6,1377,8,24,1258
97amarnathk,17,1417,20,45,1257
shalinshah1993,3,1414,12,27,1251
kay_35,11,1477,5,46,1250
Aaska,12,1468,22,129,1246
Kunjal,7,1371,0,23,1242
TheLisztomaniac,3,1418,4,8,1239
megalomaniac,18,1439,4,61,1234
kepta,14,1494,5,35,1230
phoenix24,9,1415,0,149,1225
yashness,3,1398,6,4,1209
Kartik1611,3,1406,3,50,1198
yAsH.jBp,21,1449,41,118,1194
ginni,7,1412,6,13,1188
Gryffindor.,9,1369,11,94,1177
TejasP812,4,1444,2,5,1164
Tiwari_17,14,1378,8,66,1163
kdp,12,1411,0,30,1142
oyoot,9,1498,4,46,1138
ucannothandle,6,1428,5,19,1137
dhaval.daiict,21,1401,14,210,1123
shantanu1227,6,1408,8,19,1121
vedant12,13,1674,10,30,1118
esoteric_cretin,4,1402,1,27,1110
da_201612051,26,1404,3,126,1096
jaimin_k,19,1408,1,38,1064
G-Force,11,1410,5,35,1062
ishitach,9,1403,2,45,1028
gauravthakkar64,6,1392,5,24,1025
prateekj.ahead,9,1418,6,15,1002
_deep_,7,1385,0,7,982
Godfather_99,8,1387,3,23,961
anupriyajaju,7,1382,11,17,868
Baba,60,2435,1416,566,2435
Smit,60,2293,635,343,2293
codelegend,93,2244,398,1006,2244
Superty,63,2250,381,361,2195
born2rule,77,2174,344,772,2174
viv001,53,2163,368,183,2163
devanshg27,27,2153,180,220,2153
pulkitg10,59,2144,510,697,2144
shivamkakkar,67,2177,255,572,2118
vmrajas,64,2180,436,324,2088
karanaggarwal,89,2294,860,373,2062
gaurav172,68,2031,157,579,2031
nitesh_gupta,68,2022,193,579,2003
sanketM,74,2055,114,481,1997
Chipe1,41,1993,220,276,1993
additya1998,66,1992,263,363,1992
1nikhil9,25,1977,157,113,1977
neerajbattan,116,1965,132,611,1965
Satyam22,16,2021,79,50,1957
techwiz911,38,1951,134,587,1947
darkscale,29,1943,134,242,1943
imamit,37,1978,77,371,1939
jugnu,14,1937,48,388,1937
abhishek1995,55,2065,101,218,1936
shubhamvijay,93,2015,134,394,1934
itisalways42,29,2052,246,267,1931
anveshi,103,1982,205,692,1928
thunderking,61,1926,111,336,1926
mishraiiit,120,2010,308,626,1913
samfisher,42,2004,97,162,1913
prashanttyagi,30,1908,71,602,1908
novice_3,43,1991,106,246,1906
vivace_jr,43,1925,144,284,1906
nir123,66,2009,149,518,1903
Sneh123,27,1886,44,468,1886
ashu1461,58,2058,185,509,1885
sarveshmahajan,97,1879,82,433,1873
kira,43,1869,122,229,1869
hulkblaster,40,1863,60,194,1863
akshay1994.leo,34,1893,185,141,1856
phpduke,38,1910,111,103,1853
vineetonrole,53,1852,126,180,1852
tanmayc25,36,1852,133,493,1849
virus_1010,106,1990,246,639,1832
semicolon29,57,1914,160,188,1831
manu1311,84,2016,140,503,1812
sandeep.iiit,13,1808,2,38,1808
night_fury208,58,1927,104,351,1802
MagicPotato,54,1811,225,372,1798
vivekkumar15,48,1806,47,532,1797
architrai,57,1924,109,481,1790
rajmanvar,27,1789,63,141,1789
Erilyth,53,1874,87,382,1783
aiccha,42,1890,45,107,1782
damangarg001,35,1781,63,103,1781
shaanknight,59,1821,94,389,1779
chaitanya100,22,1844,96,128,1777
amanjain110893,58,1803,51,351,1774
nik1234,27,1776,45,513,1772
saatwik27,67,1937,132,550,1770
thinkcentre_ns,26,1768,62,180,1768
Kurosaki,22,1767,54,170,1767
ZeForce,22,1841,126,176,1761
amanmehta-maniac,22,1755,53,368,1755
matcoder,48,1808,74,439,1754
AnishG,29,1778,69,429,1749
Vivek_N_2,16,1827,42,75,1746
iamstg,49,1780,71,222,1746
300,17,1745,30,71,1745
pranjalr34,89,1834,80,553,1744
GreedyMind,4,1740,0,17,1740
lakshit,27,1812,55,70,1738
crvineeth97,24,1736,55,79,1736
start_tirth,30,1762,57,160,1730
tanuj.sharma,26,1730,48,114,1730
deepangupta91,27,1728,83,68,1728
sherlock_holms,21,1770,47,563,1721
finisher,36,1770,67,171,1719
predicate,7,1719,20,48,1719
wrumf,12,1718,29,84,1718
yashdv,28,1717,77,77,1717
math-is-stupid,54,1754,30,183,1716
infinitearray,3,1713,15,30,1713
anukul,27,1722,63,147,1712
lordinvader,17,1731,29,58,1707
swetanjal,29,1707,80,153,1707
icecode,54,1823,62,164,1705
harry7,6,1701,17,132,1701
joycode,49,1795,59,392,1699
pakhandibaba,26,1786,65,384,1699
deepanshugarg,37,1870,129,139,1697
gogateiiit,50,1823,60,404,1696
mihir_w,13,1727,30,49,1696
kshitij98,22,1841,43,107,1694
kishan98,35,1735,32,214,1693
amit_kumar_jha,11,1691,29,39,1691
venkat1997,47,1822,25,341,1690
ak.bewildered,31,1709,51,74,1689
pradeep1999,11,1687,4,37,1687
